"Coffee Liqueur (63 Proof)","160.0","0","17","0"
"Coffee with Cream Liqueur (34 Proof)","150.0","63","10","0"
"Cornichons","0.0","0","0","0"
"Couscous Salad","80.0","23","14","0"
"Cream of Jalapeno Soup","260.0","198","11","0"
"Creme Brulee","520.0","279","50","0"
"Creole Mustard Sauce","35.0","4.5","6","0"
"Crispy Bacon","20.0","18","0","1"
"Crostinis","25.0","0","4","0"
"Croutons","25.0","9","4","0"
"Cucumber Salad","70.0","54","5","1"
"Deep Eddy Lemon Drop","300.0","0","34","0"
"Diamante Passion Fruit Margarita","260.0","0","35","0"
"Dressing - Bleu Cheese","130.0","126","0","1"
"Dressing - Brazilian Vinaigrette","30.0","18","1","0"
"Dressing - Italian Balsamic Vinaigrette","160.0","144","4","1"
"Dressing - Ranch","100.0","90","2","1"
"Espresso Delight","200.0","36","8","0"
"Farofa","50.0","32","5","0"
"Filet Mignon","130.0","63","0","0"
"Filet Mignon Wrapped in Bacon","150.0","81","0","0"
"Fish Stew (Moqueca de Peixe)","80.0","45","1","0"
"Flank Steak","130.0","72","0","0"
"Garlic Mashed Potatoes","80.0","54","11","0"
"Garlic Picanha","120.0","54","0","0"
"Giardiniera Salad","5.0","0","2","0"
"Ginger","30.0","0","5","0"
"Goat Cheese Terrine","45.0","36","1","1"
"Godiva Flight","210.0","63","21","0"
"Grand Marnier Flight","70.0","0","6","0"
"Grape Salad","110.0","81","5","1"
"Green Bean Salad","30.0","23","2","1"
"Grey Goose Caipiroska","190.0","0","27","0"
"Grilled Peppers - Red & Yellow","30.0","23","2","1"
"Grilled Provolone Cheese","40.0","32","0","1"
"Hearts of Palm","5.0","0","1","0"
"Hennessy Flight","190.0","0","0","0"
"Herb Marinated Pork Loin","45.0","14","0","0"
"Horseradish","40.0","41","0","1"
"Hummus","50.0","23","6","0"
"Ipanema Margarita","260.0","0","30","0"
"Jack Daniel's Apple Martini","250.0","0","33","0"
"Jasmine Rice","40.0","9","7","0"
"Johnnie Walker Flight","190.0","0","0","0"
"Key Lime Pie","630.0","252","83","0"
"Key Lime Pie Martini","250.0","14","12","0"
"Knob Creek Texas Belle","250.0","0","21","0"
"Lamb Chops","140.0","90","0","0"
"Langley's Strawberry Limeade","160.0","0","15","0"
"Lava","210.0","32","23","0"
"Leg of Lamb","60.0","23","0","0"
"Liquor (100 Proof)","120.0","0","0","0"
"Liquor (80 Proof)","100.0","0","0","0"
"Liquor (86 Proof)","100.0","0","0","0"
"Liquor (90 Proof)","110.0","0","0","0"
"Liquor (94 Proof)","120.0","0","0","0"
"Lobster Bisque","360.0","306","10","0"
"Malagueta Peppers","0.0","0","1","0"
"Manchego Cheese","90.0","63","0","0"
"Manzanilla Olives - Black & Green","25.0","23","0","1"
"Marinated Artichoke Heart","35.0","0","6","0"
"Milky Way","200.0","54","6","0"
"Mint Sauce","30.0","0","6","0"
"Mixed Field Greens","45.0","27","3","0"
"Onion Ceviche","60.0","54","3","1"
"Orange Vinaigrette","120.0","81","9","0"
"Papaya Cream","570.0","207","101","0"
"Parmesan Chicken Drumettes","110.0","54","0","0"
"Parmesan Crusted Pork Loin","90.0","27","0","0"
"Patron Flight","190.0","0","0","0"
"Pecan Pie with Cream Cheese Center","540.0","189","84","0"
"Pecan Pie with Cream Cheese Center a la Mode","750.0","288","120","0"
"Picanha","120.0","45","0","0"
"Pineapple Carpaccio","35.0","0","9","0"
"Piquante Pepper","5.0","0","1","0"
"Potatoes au Gratin","130.0","99","6","1"
"Prosciutto","30.0","14","0","0"
"Quinoa Salad","70.0","54","6","1"
"Rio Sunrise","350.0","0","43","0"
